Age,d18Oc
2.26,3.437
2.262,3.494
2.264,3.557
2.266,3.519
2.268,3.555
2.27,3.619
2.272,3.751
2.274,3.9
2.276,4.018
2.278,4.109
2.28,4.168
2.282,4.207
2.284,4.218
2.286,4.189
2.288,4.12
2.29,4.023
2.292,3.855
2.294,3.68
2.296,3.585
2.298,3.507
2.3,3.383
2.302,3.312
2.304,3.408
2.306,3.536
2.308,3.643
2.31,3.746
2.312,3.75
2.314,3.744
2.316,3.85
2.318,3.962
2.32,3.993
2.322,3.988
2.324,3.947
2.326,3.899
2.328,3.869
2.33,3.85
2.332,3.867
2.334,3.909
2.336,3.943
2.338,3.93
2.34,3.883
2.342,3.767
2.344,3.638
2.346,3.535
2.348,3.463
2.35,3.446
2.352,3.478
2.354,3.618
2.356,3.778
2.358,3.882
2.36,3.95
2.362,3.914
2.364,3.869
2.366,3.925
2.368,3.993
2.37,4.042
2.372,4.051
2.374,3.954
2.376,3.819
2.378,3.666
2.38,3.528
2.382,3.45
2.384,3.411
2.386,3.453
2.388,3.512
2.39,3.535
2.392,3.529
2.394,3.425
2.396,3.347
2.398,3.384
2.4,3.548
2.402,3.741
2.404,3.881
2.406,3.955
2.408,3.879
2.41,3.756
2.412,3.595
2.414,3.458
2.416,3.465
2.418,3.516
2.42,3.577
2.422,3.649
2.424,3.676
2.426,3.728
2.428,3.906
2.43,4.111
2.432,4.328
2.434,4.448
2.436,4.491
2.438,4.401
2.44,4.272
2.442,4.145
2.444,4.021
2.446,3.973
2.448,3.931
2.45,3.85
2.452,3.756
2.454,3.613
2.456,3.48
2.458,3.444
2.46,3.444
2.462,3.448
2.464,3.451
2.466,3.384
2.468,3.425
2.47,3.513
2.472,3.694
2.474,3.889
2.476,3.985
2.478,4.077
2.48,4.272
2.482,4.467
2.484,4.601
2.486,4.656
2.488,4.536
2.49,4.36
2.492,4.194
2.494,4.036
2.496,3.925
2.498,3.837
2.5,3.78
2.502,3.751
2.504,3.729
2.506,3.73
2.508,3.774
2.51,3.872
2.512,4.079
2.514,4.304
2.516,4.493
2.518,4.626
2.52,4.627
2.522,4.589
2.524,4.559
2.526,4.507
2.528,4.456
2.53,4.383
2.532,4.279
2.534,4.081
2.536,3.847
2.538,3.558
2.54,3.31
2.542,3.225
2.544,3.232
2.546,3.37
2.548,3.539
2.55,3.636
2.552,3.708
2.554,3.742
2.556,3.771
2.558,3.829
2.56,3.87
2.562,3.858
2.564,3.828
2.566,3.805
2.568,3.777
2.57,3.75
2.572,3.705
2.574,3.589
2.576,3.475
2.578,3.434
2.58,3.423
2.582,3.422
2.584,3.445
2.586,3.51
2.588,3.603
2.59,3.751
2.592,3.882
2.594,3.911
2.596,3.91
2.598,3.864
2.6,3.927
2.602,4.003
2.604,4.052
2.606,4.07
2.608,4.008
2.61,3.91
2.612,3.79
2.614,3.674
2.616,3.601
2.618,3.546
2.62,3.502
2.622,3.463
2.624,3.423
2.626,3.398
2.628,3.406
2.63,3.422
2.632,3.407
2.634,3.4
2.636,3.438
2.638,3.516
2.64,3.667
2.642,3.826
2.644,3.967
2.646,4.078
2.648,4.107
2.65,4.087
2.652,4.014
2.654,3.911
2.656,3.795
2.658,3.683
2.66,3.591
2.662,3.514
2.664,3.479
2.666,3.475
2.668,3.477
2.67,3.447
2.672,3.412
2.674,3.369
2.676,3.351
2.678,3.4
2.68,3.481
2.682,3.594
2.684,3.734
2.686,3.925
2.688,4.088
2.69,4.129
2.692,4.119
2.694,4.025
2.696,3.922
2.698,3.909
2.7,3.944
2.702,3.994
2.704,4.036
2.706,4.09
2.708,4.164
2.71,4.227
2.712,4.242
2.714,4.239
2.716,4.236
2.718,4.239
2.72,4.279
2.722,4.29
2.724,4.2
2.726,4.072
2.728,3.922
2.73,3.782
2.732,3.722
2.734,3.625
2.736,3.533
2.738,3.458
2.74,3.39
2.742,3.325
2.744,3.289
2.746,3.309
2.748,3.357
2.75,3.449
2.752,3.537
2.754,3.55
2.756,3.548
2.758,3.559
2.76,3.577
2.762,3.634
2.764,3.671
2.766,3.62
2.768,3.542
2.77,3.448
2.772,3.359
2.774,3.332
2.776,3.319
2.778,3.279
2.78,3.249
2.782,3.259
2.784,3.283
2.786,3.326
2.788,3.368
2.79,3.362
2.792,3.369
2.794,3.447
2.796,3.545
2.798,3.674
2.8,3.763
2.802,3.822
2.804,3.83
2.806,3.805
2.808,3.709
2.81,3.61
2.812,3.598
2.814,3.611
2.816,3.66
2.818,3.689
2.82,3.588
2.822,3.462
2.824,3.36
2.826,3.296
2.828,3.348
2.83,3.429
2.832,3.475
2.834,3.505
2.836,3.496
2.838,3.493
2.84,3.544
2.842,3.605
2.844,3.652
2.846,3.69
2.848,3.729
2.85,3.739
2.852,3.657
2.854,3.578
2.856,3.567
2.858,3.567
2.86,3.608
2.862,3.636
2.864,3.527
2.866,3.448
2.868,3.39
2.87,3.405
2.872,3.438
2.874,3.45
2.876,3.471
2.878,3.529
2.88,3.6
2.882,3.693
2.884,3.769
