Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
1242,Globigerinoides ruber white,,34.13,-9.55,(0-120),18.15,1.83,
1243,Globigerinoides ruber white,,-8.03,-10.13,(0-120),22.63,3.58,
1244,Globigerinoides ruber white,,-5.70,-9.45,(0-120),22.25,3.99,
1245,Globigerinoides ruber white,,-3.00,-11.42,(0-120),20.27,4.74,
1246,Globigerinoides ruber white,,-1.33,-11.90,(0-120),20.54,4.42,
1247,Globigerinoides ruber white,,-0.20,-23.15,(0-120),22.60,3.95,
1248,Globigerinoides ruber white,,0.55,-13.65,(0-120),21.42,4.47,
1249,Globigerinoides ruber white,,1.78,-25.43,(0-120),23.43,4.52,
1250,Globigerinoides ruber white,,3.28,-34.83,(0-120),25.46,3.96,
1251,Globigerinoides ruber white,,8.72,-41.25,(0-120),24.12,3.76,
1252,Globigerinoides ruber white,,10.98,-81.15,(0-120),25.46,2.52,
1253,Globigerinoides ruber white,,12.87,-77.75,(0-120),26.12,1.76,
1254,Globigerinoides ruber white,,13.18,-79.83,(0-120),26.21,1.83,
1255,Globigerinoides ruber white,,0.81,134.48,(0-120),27.79,1.93,
1256,Globigerinoides ruber white,,14.88,-78.75,(0-120),27.22,1.02,
1257,Globigerinoides ruber white,,15.62,-71.67,(0-120),27.11,0.92,
1258,Globigerinoides ruber white,,16.13,-74.45,(0-120),27.38,0.77,
1259,Globigerinoides ruber white,,-13.85,120.00,(0-120),26.70,2.13,
1260,Globigerinoides ruber white,,-15.31,119.50,(0-120),26.32,2.28,
1261,Globigerinoides ruber white,,-14.98,120.70,(0-120),26.41,2.14,
1262,Globigerinoides ruber white,,-10.83,120.67,(0-120),25.59,2.55,
1263,Globigerinoides ruber white,,-10.95,120.99,(0-120),25.66,2.49,
1264,Globigerinoides ruber white,,-11.30,121.70,(0-120),25.95,2.35,
1265,Globigerinoides ruber white,,-11.52,122.42,(0-120),26.30,2.28,
1266,Globigerinoides ruber white,,-9.09,129.24,(0-120),25.99,2.45,
1267,Globigerinoides ruber white,,-8.79,128.64,(0-120),25.86,2.52,
1269,Globigerinoides ruber white,,10.90,115.31,(0-120),25.66,3.43,
1270,Globigerinoides ruber white,,15.40,-43.40,(0-120),25.25,1.40,
1271,Globigerinoides ruber white,,15.38,-17.25,(0-120),18.99,3.85,
1272,Globigerinoides ruber white,,-12.05,121.75,(0-120),26.67,2.11,
1273,Globigerinoides ruber white,,26.13,125.13,(0-120),24.40,1.98,
1274,Globigerinoides ruber white,,1.60,96.66,(0-120),27.27,3.43,
1275,Globigerinoides ruber white,,1.63,96.89,(0-120),26.93,3.56,
1276,Globigerinoides ruber white,,1.68,96.98,(0-120),26.77,3.63,
1277,Globigerinoides ruber white,,1.76,96.77,(0-120),27.07,3.51,
1278,Globigerinoides ruber white,,1.99,97.79,(0-120),29.36,0.99,
1279,Globigerinoides ruber white,,2.05,97.80,(0-120),29.36,1.07,
1280,Globigerinoides ruber white,,2.49,97.12,(0-120),26.92,4.06,
1281,Globigerinoides ruber white,,2.56,96.76,(0-120),26.93,3.73,
1282,Globigerinoides ruber white,,2.56,96.76,(0-120),26.93,3.73,
1283,Globigerinoides ruber white,,2.78,96.42,(0-120),28.31,2.17,
1284,Globigerinoides ruber white,,2.82,96.61,(0-120),28.24,2.35,
1285,Globigerinoides ruber white,,2.83,96.39,(0-120),28.22,2.26,
1286,Globigerinoides ruber white,,2.95,96.50,(0-120),27.26,3.49,
1287,Globigerinoides ruber white,,2.99,96.22,(0-120),27.20,3.35,
1288,Globigerinoides ruber white,,3.01,96.25,(0-120),27.14,3.49,
1289,Globigerinoides ruber white,,3.20,96.78,(0-120),27.33,3.58,
1290,Globigerinoides ruber white,,3.27,96.15,(0-120),27.45,3.37,
1291,Globigerinoides ruber white,,3.49,95.33,(0-120),27.39,2.98,
1292,Globigerinoides ruber white,,3.52,96.31,(0-120),28.81,1.58,
1293,Globigerinoides ruber white,,3.87,96.01,(0-120),29.29,0.51,
1294,Globigerinoides ruber white,,40.22,25.24,(0-120),16.22,2.65,
1296,Globigerinoides ruber white,,38.26,25.10,(0-120),16.86,2.16,
1297,Globigerinoides ruber white,,37.27,26.19,(0-120),17.50,1.81,
1298,Globigerinoides ruber white,,36.75,26.59,(0-120),18.04,2.03,
1299,Globigerinoides ruber white,,35.86,25.17,(0-120),17.81,2.42,discordant
1300,Globigerinoides ruber white,,35.66,26.58,(0-120),17.81,2.19,
1301,Globigerinoides ruber white,,1.45,98.05,(0-120),29.20,0.92,
1302,Globigerinoides ruber white,,33.03,32.63,(0-120),19.18,2.94,
1306,Globigerinoides ruber white,,-4.70,101.96,(0-120),27.54,2.65,
1307,Globigerinoides ruber white,,-4.16,101.50,(0-120),27.91,2.58,
1308,Globigerinoides ruber white,,-4.16,101.64,(0-120),27.99,2.59,
1309,Globigerinoides ruber white,,-3.83,101.23,(0-120),27.80,2.68,
1311,Globigerinoides ruber white,,-1.70,99.60,(0-120),29.34,0.63,
1312,Globigerinoides ruber white,,-1.67,99.68,(0-120),27.77,2.95,
1313,Globigerinoides ruber white,,-30.84,-38.24,(0-120),19.99,1.73,
1314,Globigerinoides ruber white,,-1.62,100.00,(0-120),27.77,3.04,
1315,Globigerinoides ruber white,,-1.56,99.95,(0-120),27.76,3.05,
1316,Globigerinoides ruber white,,-1.50,100.13,(0-120),28.83,1.83,
1317,Globigerinoides ruber white,,-1.46,100.23,(0-120),28.70,2.33,
1318,Globigerinoides ruber white,,-1.30,99.72,(0-120),27.74,3.05,
1319,Globigerinoides ruber white,,-1.18,97.98,(0-120),27.45,2.91,
1320,Globigerinoides ruber white,,-0.95,98.26,(0-120),27.46,2.92,
1321,Globigerinoides ruber white,,-0.94,99.52,(0-120),27.85,3.02,
1322,Globigerinoides ruber white,,-0.87,99.80,(0-120),28.21,2.85,
1323,Globigerinoides ruber white,,-0.81,99.65,(0-120),27.68,3.64,
1325,Globigerinoides ruber white,,-0.77,99.27,(0-120),27.88,2.91,
1326,Globigerinoides ruber white,,-0.70,99.76,(0-120),27.96,3.38,
1328,Globigerinoides ruber white,,-0.67,99.12,(0-120),29.02,1.37,
1329,Globigerinoides ruber white,,-0.50,98.85,(0-120),29.31,1.02,
1330,Globigerinoides ruber white,,0.34,98.13,(0-120),29.37,0.99,
1331,Globigerinoides ruber white,,0.95,98.13,(0-120),29.29,1.10,
1333,Globigerinoides ruber white,,33.67,32.70,(0-120),18.73,2.54,
1334,Globigerinoides ruber white,,32.78,34.37,(0-120),19.35,2.90,
1335,Globigerinoides ruber white,,42.98,-55.25,(0-120),11.78,2.93,
1336,Globigerinoides ruber white,,-31.66,-36.02,(0-120),19.18,1.64,
1337,Globigerinoides ruber white,,16.54,-76.87,(0-120),27.58,0.84,
1338,Globigerinoides ruber white,,-31.52,-35.94,(0-120),19.37,1.62,
1339,Globigerinoides ruber white,,16.54,-76.64,(0-120),27.59,0.87,
1340,Globigerinoides ruber white,,-31.41,-35.88,(0-120),19.45,1.65,discordant
1341,Globigerinoides ruber white,,24.39,58.04,(0-120),23.72,2.69,
1342,Globigerinoides ruber white,,14.52,93.13,(0-120),25.91,2.95,
1343,Globigerinoides ruber white,,7.50,76.72,(0-120),26.40,2.77,
1344,Globigerinoides ruber white,,-17.88,38.67,(0-120),24.05,2.50,
1345,Globigerinoides ruber white,,-19.00,37.50,(0-120),24.41,2.52,
1346,Globigerinoides ruber white,,-19.57,37.03,(0-120),24.24,2.42,
1347,Globigerinoides ruber white,,-20.40,36.33,(0-120),23.72,2.70,
1348,Globigerinoides ruber white,,36.95,11.67,(0-120),16.88,2.66,
1349,Globigerinoides ruber white,,36.95,11.65,(0-120),16.81,2.60,
1350,Globigerinoides ruber white,,39.58,18.83,(0-120),16.40,2.92,
1351,Globigerinoides ruber white,,-9.65,118.34,(0-120),24.72,2.83,
1352,Globigerinoides ruber white,,26.65,125.82,(0-120),24.19,2.11,
1353,Globigerinoides ruber white,,40.59,18.87,(0-120),16.15,2.78,
1354,Globigerinoides ruber white,,38.50,18.39,(0-120),17.00,2.88,
1355,Globigerinoides ruber white,,-12.28,112.71,(0-120),25.96,2.29,
1356,Globigerinoides ruber white,,-9.22,114.72,(0-120),24.51,3.84,
1357,Globigerinoides ruber white,,-20.09,112.66,(0-120),24.40,1.89,
1358,Globigerinoides ruber white,,-12.05,121.10,(0-120),26.72,2.14,
1359,Globigerinoides ruber white,,-13.07,121.12,(0-120),27.01,1.93,
1360,Globigerinoides ruber white,,1.12,129.12,(0-120),27.10,2.08,
1361,Globigerinoides ruber white,,8.03,110.00,(0-120),25.12,3.20,
1362,Globigerinoides ruber white,,23.15,124.07,(0-120),25.21,1.83,
1363,Globigerinoides ruber white,,16.57,-77.69,(0-120),27.68,0.82,
1364,Globigerinoides ruber white,,-31.91,-36.20,(0-120),19.07,1.60,
1366,Globigerinoides ruber white,,-32.03,-36.19,(0-120),19.12,1.76,
1367,Globigerinoides ruber white,,34.95,-21.67,(0-120),18.60,1.76,discordant
1368,Globigerinoides ruber white,,28.57,-46.36,(0-120),22.71,1.87,discordant
1369,Globigerinoides ruber white,,29.31,-43.22,(0-120),22.07,1.85,
1370,Globigerinoides ruber white,,31.53,-37.87,(0-120),21.12,1.91,
1371,Globigerinoides ruber white,,34.81,-28.36,(0-120),18.95,2.06,
1372,Globigerinoides ruber white,,35.49,27.58,(0-120),17.40,2.24,
1373,Globigerinoides ruber white,,35.57,30.46,(0-120),17.60,2.32,
1374,Globigerinoides ruber white,,34.53,31.79,(0-120),18.41,2.71,
1375,Globigerinoides ruber white,,40.55,13.35,(0-120),16.32,3.00,
1376,Globigerinoides ruber white,,34.45,33.86,(0-120),18.67,2.73,
1377,Globigerinoides ruber white,,41.52,17.98,(0-120),15.44,2.53,
1378,Globigerinoides ruber white,,32.65,34.10,(0-120),19.44,3.07,
1379,Globigerinoides ruber white,,39.67,13.57,(0-120),16.49,3.32,
1380,Globigerinoides ruber white,,37.84,18.16,(0-120),17.05,2.94,
1381,Globigerinoides ruber white,,33.45,32.58,(0-120),18.94,2.81,
1382,Globigerinoides ruber white,,34.47,25.67,(0-120),17.96,2.52,
