Sample,Species,Site,Lat,Lon,Depth,Twoa23,SD_Twoa23,Discordant
0339,Globigerina bulloides,,-53.74,-58.90,(0-500),5.45,0.97,
0340,Globigerina bulloides,,-45.50,1.25,(0-500),5.32,1.28,discordant
0341,Globigerina bulloides,,-44.90,1.54,(0-500),6.44,1.59,
0342,Globigerina bulloides,,-41.85,0.09,(0-500),9.73,1.15,discordant
0343,Globigerina bulloides,,-41.85,0.09,(0-500),9.73,1.15,discordant
0344,Globigerina bulloides,,-41.85,0.09,(0-500),9.73,1.15,discordant
0345,Globigerina bulloides,,-41.85,0.09,(0-500),9.73,1.15,discordant
0346,Globigerina bulloides,,-48.69,-2.85,(0-500),3.11,0.86,discordant
0347,Globigerina bulloides,,-48.69,-2.85,(0-500),3.11,0.86,discordant
0348,Globigerina bulloides,,-48.69,-2.85,(0-500),3.11,0.86,discordant
0349,Globigerina bulloides,,-48.69,-2.85,(0-500),3.11,0.86,discordant
0350,Globigerina bulloides,,-48.69,-2.85,(0-500),3.11,0.86,discordant
0351,Globigerina bulloides,,-50.74,-3.21,(0-500),2.14,0.36,discordant
0352,Globigerina bulloides,,-50.74,-3.21,(0-500),2.14,0.36,discordant
0353,Globigerina bulloides,,-51.33,-3.32,(0-500),1.68,0.57,
0354,Globigerina bulloides,,-51.33,-3.32,(0-500),1.68,0.57,
0355,Globigerina bulloides,,-51.33,-3.32,(0-500),1.68,0.57,
0356,Globigerina bulloides,,-49.13,6.71,(0-500),2.83,0.67,discordant
0357,Globigerina bulloides,,-49.13,6.71,(0-500),2.83,0.67,discordant
0358,Globigerina bulloides,,-49.13,6.71,(0-500),2.83,0.67,discordant
0359,Globigerina bulloides,,-41.85,0.09,(0-500),9.73,1.15,discordant
0360,Globigerina bulloides,,-44.90,1.54,(0-500),6.44,1.59,
0361,Globigerina bulloides,,-20.12,8.97,(0-500),12.00,3.86,
0362,Globigerina bulloides,,-20.12,8.97,(0-500),12.00,3.86,
0363,Globigerina bulloides,,-44.90,1.54,(0-500),6.44,1.59,
0364,Globigerina bulloides,,-44.25,1.84,(0-500),7.65,1.63,
0365,Globigerina bulloides,,-44.25,1.84,(0-500),7.65,1.63,
0366,Globigerina bulloides,,-44.25,1.84,(0-500),7.65,1.63,
0367,Globigerina bulloides,,-44.25,1.84,(0-500),7.65,1.63,
0368,Globigerina bulloides,,-42.24,5.22,(0-500),8.17,1.66,
0369,Globigerina bulloides,,-37.52,14.11,(0-500),12.74,2.78,discordant
0370,Globigerina bulloides,,-37.52,14.11,(0-500),12.74,2.78,
0371,Globigerina bulloides,,-35.61,16.36,(0-500),12.78,3.34,
0372,Globigerina bulloides,,-35.61,16.36,(0-500),12.78,3.34,
0373,Globigerina bulloides,,-35.61,16.36,(0-500),12.78,3.34,discordant
0374,Globigerina bulloides,,-35.61,16.36,(0-500),12.78,3.34,discordant
0375,Globigerina bulloides,,-35.61,16.36,(0-500),12.78,3.34,
0376,Globigerina bulloides,,-34.75,17.36,(0-500),11.71,3.25,
0377,Globigerina bulloides,,-34.75,17.36,(0-500),11.71,3.25,
0378,Globigerina bulloides,,-34.75,17.36,(0-500),11.71,3.25,
0379,Globigerina bulloides,,-20.12,8.97,(0-500),12.00,3.86,
0380,Globigerina bulloides,,-20.12,8.97,(0-500),12.00,3.86,
